title,url
[종료] 2025년 1학기 구내식당 이용 만족도 설문조사 안내★재실시★,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36531
[구내식당] 2025년 6월 구내식당 일정 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36523
[종료] 2025년 6월 입주생 심폐소생술(CPR) 교육 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36514
[기숙사] 2025-2학기 새날관 행복기숙사 입사 모집 안내(내국인),https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36508
[기숙사] 2025학년도 1학기 구내식당 이용 만족도 설문조사 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36507
[기숙사] 2025년 6월 정기소독 실시 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36506
[구내식당] 2025-1학기 구내식당 모니터링단 정기회의(1차) 결과보고,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36504
[구내식당] 2025년 5월 미사용 식권 교환 이벤트(2차)<마감>,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36495
[구내식당] 2025년 6월 식권 생성 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36494
[기숙사] 행복기숙사 호실 에어컨 수리 민원 접수 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36489
"[기숙사] 2025학년도 1학기 기숙사비, 보증금 및 식비 환불 안내",https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36482
[구내식당] 2025년 5월 특식 사전 예약 안내<마감>,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36481
[기숙사] 2025학년도 1학기 세탁실 및 택배보관실 개인물품 정리 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36477
[기숙사] 행복기숙사 호실 냉방 가동 및 민원 접수 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36472
[생활지도실] 2025-1학기 3차 생활점검 실시 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36471
[구내식당] 2025년 5월 미사용 식권 교환 이벤트(1차)<마감>,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36468
[구내식당] 2025년 5월 구내식당 일정 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36467
[생활지도실] 2025 세종대학교- 세종연회<世宗宴會>(축제) 입출입 ...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36462
[구내식당] 미사용 식권 교환 이벤트[마감],https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36448
[구내식당] 2025년 5월 식권 생성 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36433
★★[구내식당] 기숙사생 전용 식권 발권 시스템 변경 안내(필독)★★,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36427
[구내식당] 시험기간 특식 사전 예약 안내(마감),https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36425
